235	Parker	1386	267
236	Lola	1370	214
237	Amaya	1349	235
238	Miranda	1348	245
239	Maggie	1344	231
240	Anastasia	1328	257
241	Leila	1324	215
242	Lexi	1320	246
243	Georgia	1319	252
244	Kenzie	1317	255
245	Iris	1312	253
246	Jacqueline	1301	239
247	Jordan	1300	260
248	Cassidy	1294	250
249	Vivienne	1289	280
250	Camille	1280	243
251	Noelle	1280	296
252	Adrianna	1272	225
253	Teagan	1272	264
254	Josie	1269	265
255	Juliette	1268	295
256	Annabella	1265	274
257	Allie	1263	220
258	Juliet	1263	238
259	Kendra	1262	187
260	Sienna	1255	263
261	Brynn	1253	213
262	Kali	1247	363
263	Maci	1235	236
264	Danielle	1233	261
265	Haley	1223	229
266	Jenna	1223	227
267	Raelynn	1222	283
268	Delaney	1220	249
269	Paris	1218	258
270	Alexia	1213	175
271	Lyric	1210	276
272	Gemma	1205	316
273	Lilliana	1203	262
274	Chelsea	1191	271
275	Angel	1179	266
276	Evangeline	1177	300
277	Ayla	1169	286
278	Kayleigh	1160	279
279	Lena	1156	331
280	Katie	1149	244
281	Elaina	1145	310
282	Olive	1144	291
283	Madeleine	1138	278
284	Makenna	1138	247
285	Dakota	1136	293
286	Elsa	1131	528
287	Nova	1121	529
288	Nadia	1119	325
289	Alison	1115	297
290	Kaydence	1111	275
291	Journey	1110	334
292	Jada	1107	248
293	Kathryn	1107	272
294	Shelby	1101	259
295	Nina	1091	287
296	Elliana	1089	294
297	Diana	1088	270
298	Phoebe	1086	301
299	Alessandra	1078	299
300	Eloise	1074	338
301	Nyla	1074	312
302	Skyler	1070	362
303	Madilyn	1067	343
304	Adelynn	1058	367
305	Miriam	1057	292
306	Ashlyn	1055	254
307	Amiyah	1051	333
308	Megan	1051	256
309	Amber	1049	288
310	Rosalie	1047	348
311	Annie	1046	354
312	Lilah	1044	307
313	Charlee	1043	324
314	Amanda	1042	298
315	Ruth	1042	329
316	Adelaide	1040	321
317	June	1039	364
318	Laura	1038	322
319	Daniella	1032	289
320	Mikayla	1026	268
321	Raegan	1019	305
322	Jane	1018	355
323	Ashlynn	1015	317
324	Kelsey	1014	306
325	Erin	1013	273
326	Christina	1012	303
327	Joanna	1010	342
328	Fatima	1009	308
329	Allyson	1008	323
330	Talia	1006	351
331	Mariana	1004	340
332	Sabrina	1003	281
333	Haven	1002	372
334	Ainsley	998	332
